"filename", "language", "JavaScript", "Log", "PHP", "Markdown", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 99, 0, 0, 0, 0, 16, 13, 128
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\FavoriteServiceProvider.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 11, 5, 31
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\FeedbackServiceProvider.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 9, 9, 63
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\InterfacesServiceProvider.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 17, 8, 54
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\JwtClaimsServiceProvider.php", "PHP", 0, 0, 18, 0, 0, 0, 0, 14, 6, 38
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\NotificationServiceProvider.php", "PHP", 0, 0, 51, 0, 0, 0, 0, 10, 11, 72
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\ProductServiceProvider.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 14, 7, 41
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\RatingServiceProvider.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 8, 7, 57
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\RecommendationServiceProvider.php", "PHP", 0, 0, 106, 0, 0, 0, 0, 16, 18, 140
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\RepositoryServiceProvider.php", "PHP", 0, 0, 47, 0, 0, 0, 0, 16, 10, 73
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\SellerServiceProvider.php", "PHP", 0, 0, 25, 0, 0, 0, 0, 8, 6, 39
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\ShippingServiceProvider.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 7, 5, 27
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Providers\ShoppingCartServiceProvider.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 7, 5, 27
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\Services\AuthManager.php", "PHP", 0, 0, 23, 0, 0, 0, 0, 24, 7, 54
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Accounting\CancelInvoiceUseCase.php", "PHP", 0, 0, 67, 0, 0, 0, 0, 9, 14, 90
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Accounting\GenerateAccountingReportUseCase.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 4, 13, 59
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Accounting\GenerateInvoiceUseCase.php", "PHP", 0, 0, 140, 0, 0, 0, 0, 22, 30, 192
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Cart\AddItemToCartUseCase.php", "PHP", 0, 0, 52, 0, 0, 0, 0, 6, 13, 71
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Cart\EmptyCartUseCase.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 1, 11, 39
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceBackEnd\bcommerceBackEnd\app\UseCases\Cart\GetCartUseCase.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 1, 8, 36
